,EventTime,Origin,Destination
231,2017.03834,SoutheastBrazil,NorthBrazil
232,2015.03834,SoutheastBrazil,MidwestBrazil
233,1972.768,SoutheastBrazil,NortheastBrazil
234,2015.03835,NortheastBrazil,SoutheastBrazil
235,2016.03824,NortheastBrazil,SoutheastBrazil
236,2017.03835,NortheastBrazil,SoutheastBrazil
237,1996.9832600000002,NortheastBrazil,SoutheastBrazil
238,1972.1396900000002,SoutheastBrazil,MidwestBrazil
239,2016.03824,MidwestBrazil,SoutheastBrazil
240,2016.03824,MidwestBrazil,SouthAmerica
241,2014.03835,MidwestBrazil,NorthBrazil
242,2016.03824,MidwestBrazil,SoutheastBrazil
243,2015.03835,MidwestBrazil,SoutheastBrazil
244,2005.03835,MidwestBrazil,Western Europe
245,2006.03835,MidwestBrazil,Western Europe
246,2005.03834,MidwestBrazil,Western Europe
247,2007.99043,MidwestBrazil,Western Europe
248,2017.03835,MidwestBrazil,Western Europe
249,2012.03824,MidwestBrazil,NortheastBrazil
250,2003.2116500000002,MidwestBrazil,Western Europe
251,2014.03836,Western Europe,MidwestBrazil
252,2014.84931,Western Europe,HVBahia
253,2015.03835,Western Europe,SoutheastBrazil
254,2016.03824,Western Europe,MidwestBrazil
255,2005.46659,MidwestBrazil,Western Europe
256,2015.03835,SoutheastBrazil,SouthAmerica
257,2017.03834,SoutheastBrazil,MidwestBrazil
258,1989.56753,SoutheastBrazil,SouthBrazil
259,1995.00338,SoutheastBrazil,Africa
260,1981.2066000000002,SoutheastBrazil,NortheastBrazil
261,2014.03834,NortheastBrazil,NorthBrazil
262,2006.03834,NortheastBrazil,SoutheastBrazil
263,2016.03824,NortheastBrazil,SoutheastBrazil
264,2011.03835,SoutheastBrazil,Africa
265,2011.03835,SoutheastBrazil,MidwestBrazil
266,2016.03824,SoutheastBrazil,NortheastBrazil
267,2017.03835,SoutheastBrazil,NortheastBrazil
268,2015.03835,SoutheastBrazil,MidwestBrazil
269,1987.55237,SoutheastBrazil,NorthBrazil
270,2017.03836,SoutheastBrazil,NortheastBrazil
271,1973.40795,SoutheastBrazil,NortheastBrazil
272,2005.2803000000001,NortheastBrazil,Western Europe
273,2013.03835,NortheastBrazil,NorthBrazil
274,1998.03835,NortheastBrazil,SoutheastBrazil
275,2010.78926,NortheastBrazil,SoutheastBrazil
276,2016.03824,NortheastBrazil,SoutheastBrazil
277,2015.03834,SoutheastBrazil,NortheastBrazil
278,2001.2548800000002,SoutheastBrazil,MidwestBrazil
279,2009.1003600000001,MidwestBrazil,SoutheastBrazil
280,2015.03834,SoutheastBrazil,NorthBrazil
281,2007.2212100000002,SoutheastBrazil,NorthAmerica
282,1996.83069,SoutheastBrazil,Western Europe
283,2015.03835,SoutheastBrazil,MidwestBrazil
284,2016.03823,SoutheastBrazil,MidwestBrazil
285,2001.03834,SoutheastBrazil,SouthBrazil
286,2015.03833,SoutheastBrazil,NortheastBrazil
287,2016.0382200000001,SoutheastBrazil,NorthBrazil
288,1993.49059,SoutheastBrazil,MidwestBrazil
289,2015.03833,SoutheastBrazil,NortheastBrazil
290,2012.0382200000001,SoutheastBrazil,SouthBrazil
291,2017.03833,SoutheastBrazil,NorthBrazil
292,1966.54409,SoutheastBrazil,North America
293,1998.03835,North America,SouthBrazil
294,2017.03834,North America,SoutheastBrazil
295,1987.5259500000002,North America,MidwestBrazil
296,2015.03834,MidwestBrazil,SoutheastBrazil
297,1981.3224200000002,North America,Bahia
298,2004.75351,Bahia,NortheastBrazil
299,2002.55842,North America,Bahia
300,1994.05399,North America,Asia
301,2016.03823,Asia,SoutheastBrazil
302,2000.27204,North America,NorthBrazil
303,1971.05386,North America,NorthBrazil
304,2006.6015300000001,NorthBrazil,SouthAmerica
305,2014.03835,NorthBrazil,Western Europe
306,2017.03834,NorthBrazil,SouthAmerica
307,2001.53356,NorthBrazil,SoutheastBrazil
308,2002.51963,NorthBrazil,SouthAmerica
309,2015.03834,SouthAmerica,MidwestBrazil
310,2016.03824,NorthBrazil,NortheastBrazil
311,2007.9150200000001,NorthBrazil,SoutheastBrazil
312,2015.03834,NorthBrazil,SoutheastBrazil
313,1979.64451,NorthBrazil,Bahia
314,2014.8602600000002,Bahia,HVBahia
315,1998.03834,Bahia,SoutheastBrazil
316,1998.03835,NorthBrazil,Western Europe
317,2015.03836,NorthBrazil,SoutheastBrazil
318,2016.03824,NorthBrazil,NortheastBrazil
319,2003.03834,NorthBrazil,Asia
320,2016.03823,NorthBrazil,MidwestBrazil
321,2016.03824,NorthBrazil,SouthBrazil
322,2002.53738,NorthBrazil,SoutheastBrazil
323,1977.6408900000001,NorthBrazil,Bahia
324,2015.03834,Bahia,NortheastBrazil
325,1987.4835,Bahia,NortheastBrazil
326,2006.03834,NortheastBrazil,SoutheastBrazil
327,2005.43353,NortheastBrazil,SoutheastBrazil
328,2006.03835,NortheastBrazil,SoutheastBrazil
329,2017.03835,NortheastBrazil,SoutheastBrazil
330,2002.08292,NortheastBrazil,NorthBrazil
331,2015.03836,NorthBrazil,SoutheastBrazil
332,1984.15199,Bahia,SoutheastBrazil
333,2010.03834,SoutheastBrazil,MidwestBrazil
334,2011.10273,Bahia,HVBahia
335,1981.05222,Bahia,SoutheastBrazil
336,2016.03824,SoutheastBrazil,NortheastBrazil
337,2007.03834,Bahia,Western Europe
338,1985.94424,Bahia,SoutheastBrazil
339,2017.03833,Bahia,SoutheastBrazil
340,2011.86626,Bahia,SouthBrazil
341,2015.27121,Bahia,HVBahia
342,2015.7123100000001,Bahia,HVBahia
343,2014.93971,Bahia,HVBahia
344,1992.56932,Bahia,HVBahia
345,2017.03833,HVBahia,SoutheastBrazil
346,2016.03823,HVBahia,Bahia
347,1971.2465900000002,North America,SoutheastBrazil
348,1995.3903500000001,SoutheastBrazil,Western Europe
349,2016.03824,SoutheastBrazil,SouthBrazil
350,2004.03825,SoutheastBrazil,Western Europe
351,2017.03835,SoutheastBrazil,NorthBrazil
352,1989.2422900000001,SoutheastBrazil,SouthBrazil
353,2005.03833,SoutheastBrazil,SouthBrazil
354,1995.8795,SoutheastBrazil,NortheastBrazil
355,2004.77483,SoutheastBrazil,NortheastBrazil
356,2011.03835,SoutheastBrazil,NorthAmerica
357,2016.03823,SoutheastBrazil,Bahia
358,2011.03833,SoutheastBrazil,MidwestBrazil
359,1970.7948000000001,North America,Western Europe
360,2006.03836,Western Europe,SoutheastBrazil
361,1998.03836,Western Europe,SoutheastBrazil
362,2016.03825,Western Europe,SouthBrazil
363,2014.03836,Western Europe,SoutheastBrazil
364,1974.83921,North America,SoutheastBrazil
365,2012.03824,SoutheastBrazil,Bahia
366,2017.03835,SoutheastBrazil,SouthBrazil
367,2017.03835,SoutheastBrazil,MidwestBrazil
368,2016.03824,SoutheastBrazil,Western Europe
369,2003.03836,SoutheastBrazil,SouthAmerica
370,2017.03835,SoutheastBrazil,NortheastBrazil
371,2015.0383700000002,SoutheastBrazil,NorthBrazil
372,2013.03835,SoutheastBrazil,Western Europe
373,1990.3652000000002,North America,SouthBrazil
374,2012.03824,SouthBrazil,SoutheastBrazil
375,1998.03835,North America,SouthBrazil
376,2004.03824,North America,Western Europe
377,1978.98461,North America,SouthAmerica
378,2017.03835,SouthAmerica,SoutheastBrazil
379,2017.03835,SouthAmerica,NortheastBrazil
380,2014.03835,SouthAmerica,SoutheastBrazil
381,2017.03835,SouthAmerica,SoutheastBrazil
382,1996.37658,SouthAmerica,MidwestBrazil
383,2010.03835,SouthAmerica,Western Europe
384,2007.03834,SouthAmerica,Western Europe
385,2008.03824,SouthAmerica,Western Europe
386,2012.03824,SouthAmerica,SoutheastBrazil
387,1981.1455700000001,North America,SoutheastBrazil
388,2005.03834,North America,SouthAmerica
389,1981.18684,North America,MidwestBrazil
390,1997.03834,MidwestBrazil,Western Europe
391,2016.03823,MidwestBrazil,NortheastBrazil
392,1999.98861,MidwestBrazil,NorthBrazil
393,2017.03833,NorthBrazil,SouthAmerica
394,2016.0382200000001,NorthBrazil,SoutheastBrazil
395,1992.3812400000002,North America,Western Europe
396,2016.03824,Western Europe,SouthAmerica
397,1972.91145,North America,SoutheastBrazil
398,2017.03835,SoutheastBrazil,NortheastBrazil
399,2007.03835,SoutheastBrazil,Africa
400,2017.03835,SoutheastBrazil,NortheastBrazil
401,2010.03835,SoutheastBrazil,NorthAmerica
